UserID,MovieID,Rating
10,2657,4
10,1676,4
10,1721,3
10,2628,3
10,3608,3
10,1573,5
10,2021,4
10,780,5
10,2431,5
10,1088,5
10,1884,2
10,1035,5
10,1923,5
10,344,4
10,104,3
10,2826,4
10,2959,3
10,2617,4
10,1059,5
10,1517,3
10,1544,4
10,1380,5
10,208,4
15,231,2
15,2712,3
15,2427,2
15,2683,4
15,70,2
15,780,2
15,3535,2
15,3160,2
15,3623,3
15,2387,2
15,1923,4
15,344,4
15,104,4
15,2826,4
15,1527,4
15,2706,4
15,1732,3
15,2959,3
15,2617,1
15,3176,4
15,3354,2
18,288,4
18,1676,3
18,1721,4
18,1391,3
18,2628,4
18,2384,2
18,327,3
18,2021,4
18,780,3
18,2253,1
18,532,1
18,3623,1
18,2723,1
18,2826,4
18,1527,4
18,1732,3
18,736,1
18,2959,4
18,2617,1
18,1544,3
18,208,1
22,231,3
22,288,2
22,1676,4
22,1917,1
22,1391,4
22,2628,2
22,3608,4
22,70,4
22,1573,4
22,3033,4
22,216,2
22,780,3
22,3535,2
22,1205,4
22,3160,4
22,532,4
22,1884,4
22,1405,3
22,3917,4
22,1923,3
22,1347,2
22,344,2
22,104,3
22,2826,3
22,1527,2
22,1732,4
22,3052,4
22,736,2
22,2617,3
22,3176,2
22,1517,4
22,1544,1
22,208,2
22,2395,4
23,2657,4
23,2712,5
23,1676,3
23,2628,4
23,2384,3
23,327,2
23,70,4
23,1573,4
23,2021,2
23,780,4
23,2253,2
23,968,4
23,1206,3
23,3070,3
23,1527,5
23,3052,5
23,2617,5
23,1517,4
23,1544,3
23,2600,4
23,1997,3
23,674,4
23,2395,4
26,231,1
26,2700,1
26,2712,3
26,1917,4
26,1721,3
26,1391,1
26,2628,2
26,2459,1
26,2683,1
26,3608,1
26,3156,5
26,216,2
26,780,3
26,2335,2
26,1088,3
26,2387,3
26,1035,2
26,1923,3
26,1347,2
26,344,1
26,104,2
26,2706,3
26,736,3
26,1517,1
26,1544,3
26,1380,4
26,208,2
26,1997,3
36,2700,5
36,1676,4
36,2628,3
36,2683,5
36,3785,5
36,1573,5
36,3156,1
36,780,4
36,3623,5
36,1405,4
36,1923,5
36,1527,4
36,2706,5
36,3052,4
36,2959,4
36,2617,4
36,3176,5
36,1517,4
36,1544,3
36,785,5
36,2395,4
48,231,4
48,1676,3
48,1917,4
48,1721,4
48,2427,3
48,1391,2
48,2628,5
48,1183,3
48,2683,3
48,3608,2
48,1573,3
48,2021,3
48,3033,4
48,780,4
48,1205,3
48,2431,3
48,2335,3
48,3623,5
48,2723,2
48,1405,3
48,1035,3
48,1923,3
48,3070,3
48,344,3
48,104,3
48,1527,3
48,2706,2
48,1373,2
48,736,3
48,2617,3
48,1517,2
48,1544,4
48,3354,1
48,1380,3
48,19,2
48,208,4
53,2710,5
53,2657,4
53,2712,5
53,1676,2
53,1917,3
53,1721,3
53,1391,5
53,2628,4
53,2459,5
53,2683,5
53,3785,4
53,327,2
53,70,4
53,1573,4
53,2021,5
53,3033,5
53,3156,2
53,780,3
53,1205,4
53,2253,5
53,2606,3
53,1088,4
53,532,5
53,2723,5
53,1884,4
53,3752,5
53,968,5
53,1206,5
53,3917,5
53,1035,5
53,611,2
53,1347,4
53,1483,3
53,1527,4
53,2706,5
53,1732,5
53,736,4
53,2959,5
53,3676,4
53,2617,3
53,1059,5
53,1380,5
53,1997,5
53,2363,5
53,25,5
53,674,5
53,1726,3
53,2395,5
53,2315,3
58,2657,4
58,288,3
58,1676,5
58,1391,4
58,2628,4
58,2384,3
58,327,3
58,70,4
58,1573,3
58,2021,4
58,3033,4
58,3864,3
58,780,4
58,1205,4
58,3160,5
58,968,4
58,1206,5
58,611,3
58,1923,5
58,3070,5
58,2826,5
58,1527,4
58,2706,4
58,1373,2
58,736,4
58,2959,5
58,2617,4
58,3176,4
58,1517,5
58,1544,3
58,1997,4
58,2363,4
58,674,4
58,2395,5
58,2315,2
63,2710,3
63,2700,5
63,2712,5
63,2427,5
63,2683,2
63,70,4
63,2976,4
63,3160,5
63,2606,2
63,2723,2
63,968,5
63,2826,1
63,2706,4
63,2959,2
63,3176,4
63,2600,3
63,785,3
63,3273,3
63,2907,3
63,2395,5
73,2657,4
73,2700,5
73,1676,4
73,1917,2
73,2628,3
73,3785,3
73,3608,3
73,70,5
73,1573,4
73,3033,4
73,3864,4
73,780,2
73,1205,4
73,2723,4
73,1923,2
73,104,3
73,2826,4
73,1527,4
73,2706,2
73,1732,5
73,3052,4
73,1373,2
73,2617,3
73,1517,3
73,1544,2
73,785,4
73,208,3
73,1997,4
90,2700,4
90,2712,2
90,1917,3
90,1721,4
90,2427,3
90,1391,4
90,2628,3
90,2683,5
90,780,2
90,2431,2
90,2976,4
90,3160,3
90,2335,1
90,3623,3
90,1416,2
90,2723,3
90,3752,3
90,344,4
90,1527,5
90,736,3
90,2959,4
90,19,4
90,208,3
90,2395,3
92,2710,1
92,2657,4
92,2700,4
92,1676,1
92,1917,4
92,1721,4
92,1391,2
92,2683,5
92,3785,4
92,327,1
92,3608,1
92,70,1
92,1573,5
92,3033,5
92,3864,1
92,216,5
92,780,3
92,3535,1
92,2606,4
92,1088,4
92,3623,1
92,2723,1
92,3752,1
92,1405,1
92,1035,5
92,1923,2
92,104,3
92,2826,1
92,2861,1
92,1527,1
92,2706,4
92,736,2
92,2959,5
92,3176,2
92,1544,2
92,1380,5
92,208,1
